pha,diameter,albedo,diameter_sigma,epoch,epoch_mjd,epoch_cal,i,om,w,ma,ad,tp,tp_cal,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,rms
N,4.856,0.358,0.455,2459000.5,59000,20200531.0,1.740392883949664,350.7584358347515,82.27744080385058,64.39172871884969,2.971156341301892,2458676.5485950387,20190712.048595,3.4486e-08,1.3172e-08,1.002e-07,4.4246e-06,0.00012045,0.00016581,0.00011189,1.3459e-08,1.3506e-09,0.00056317,1.2307e-05,0.46355
N,4.729,0.198,0.081,2459000.5,59000,20200531.0,6.437110005651182,82.35249182306275,95.68928342192018,40.90846370477981,2.449290981449838,2458860.7335929372,20200112.2335929,3.6722e-08,6.1313e-09,8.1759e-08,3.6888e-06,3.5175e-05,4.079e-05,2.0355e-05,6.6844e-09,1.1982e-09,6.9501e-05,5.035e-06,0.48048
N,5.615,0.117,0.242,2459000.5,59000,20200531.0,12.86066841410964,349.3714380038032,135.0875688092009,119.5482779803528,2.542980335360665,2458566.4139653197,20190323.9139653,3.8102e-08,9.2149e-09,8.9108e-08,5.1251e-06,1.7275e-05,3.4954e-05,2.8235e-05,1.0016e-08,1.627e-09,0.00010279,7.7225e-06,0.48579
N,2.502,0.372,0.122,2459000.5,59000,20200531.0,13.0016807134983,108.1228667115592,132.5868858384549,108.4365324312293,2.93699660350061,2458536.9083154756,20190222.4083155,4.004e-08,1.9619e-08,1.0325e-07,6.713e-06,2.2864e-05,3.9615e-05,3.3733e-05,2.2087e-08,2.6385e-09,0.00014208,1.7361e-05,0.55477
N,7.167,0.281,0.117,2459000.5,59000,20200531.0,13.53283710439444,56.20725058884027,225.9591495564025,62.84804156981703,3.295412352185608,2458723.6588839316,20190828.1588839,4.4798e-08,1.6898e-08,1.2344e-07,5.3627e-06,1.8928e-05,2.2185e-05,1.0026e-05,2.0924e-08,2.1621e-09,4.4474e-05,1.5103e-05,0.3758
N,2.84,0.166,0.189,2459000.5,59000,20200531.0,6.437308420431973,10.19302607466726,330.1648684625935,256.3278993584552,2.73656705381195,2459372.2480776,20210606.7480776,3.3647e-08,9.1815e-09,7.9223e-08,4.0311e-06,3.276e-05,3.5022e-05,1.4967e-05,1.0829e-08,1.6554e-09,5.4746e-05,7.6625e-06,0.54895
N,2.239,0.106,0.249,2459000.5,59000,20200531.0,6.470854510275604,259.183450367856,167.629679793656,168.2387878129436,3.220428689466093,2458258.429773225,20180519.9297732,5.4723e-08,1.8799e-08,1.4651e-07,5.7036e-06,8.1511e-05,8.4146e-05,2.2564e-05,2.2728e-08,2.4001e-09,9.567e-05,1.681e-05,0.5586
Y,0.451,0.095,0.026,2459000.5,59000,20200531.0,5.3592177752596,124.3177464744888,235.5310288723832,194.7133766231595,1.321864852938354,2459170.270675792,20201116.7706758,9.9249e-09,5.1404e-10,9.8654e-09,2.1252e-06,8.4042e-06,8.4295e-06,1.4459e-06,6.7395e-10,7.4457e-10,1.5823e-06,2.8279e-07,0.38738
N,3.49,0.063,0.757,2459000.5,59000,20200531.0,3.130483017538995,275.8253889834397,46.01425760857475,64.42329891942939,3.517942224596774,2458654.8986501987,20190620.3986502,9.4714e-08,3.0147e-08,2.9161e-07,6.2857e-06,0.00017349,0.00017495,2.0214e-05,3.4944e-08,2.7774e-09,0.00010994,2.8775e-05,0.58848
N,4.833,0.057,0.28,2459000.5,59000,20200531.0,5.390851048420067,55.19846266826683,304.1294067119014,205.1363850562354,3.071571824424379,2459726.4514280264,20220526.951428,4.7739e-08,2.1371e-08,1.3396e-07,4.6774e-06,5.8005e-05,6.2313e-05,2.5685e-05,2.3663e-08,2.4652e-09,0.00012478,1.9501e-05,0.60525
N,3.863,0.043,0.286,2459000.5,59000,20200531.0,1.928014159327478,67.94430294069979,251.7648945456846,330.9193323628834,3.585768107278722,2459159.024082626,20201105.5240826,8.6967e-08,5.252e-08,2.9433e-07,8.0235e-06,0.00027902,0.00028068,2.8744e-05,6.1392e-08,4.7112e-09,0.00015763,5.0398e-05,0.49616
N,5.118,0.089,0.422,2459000.5,59000,20200531.0,5.083385052779506,205.8408694014196,206.2956587343839,285.4714424405855,2.965365996073484,2459348.821004366,20210514.3210044,4.6663e-08,2.0231e-08,1.2689e-07,5.5359e-06,5.0353e-05,6.0787e-05,3.5064e-05,2.167e-08,2.3454e-09,0.00016467,1.8443e-05,0.56143
N,13.386,0.075,0.196,2459000.5,59000,20200531.0,23.42423825673373,68.53137693255368,353.4995661850622,13.39817572957226,3.264232029783502,2458924.7430489915,20200316.243049,5.2608e-08,2.4327e-08,1.7267e-07,5.7393e-06,1.2515e-05,6.4277e-05,6.24e-05,2.5263e-08,2.0532e-09,0.00035287,2.3631e-05,0.45374
N,2.784,0.056,1.111,2459000.5,59000,20200531.0,10.17460248218221,240.7127413028673,134.8672107568582,120.8452710400846,2.798182884668309,2458567.2508687214,20190324.7508687,6.9635e-08,1.0949e-08,1.6116e-07,5.092e-06,2.1876e-05,2.4248e-05,1.0753e-05,1.3206e-08,1.9747e-09,3.7115e-05,9.1371e-06,0.49685
N,2.405,0.441,0.432,2459000.5,59000,20200531.0,2.200046495853734,174.2385034395878,235.8715037888729,191.9407736486967,2.828662436063528,2459706.757963581,20220507.2579636,3.8659e-08,1.1914e-08,1.0247e-07,5.0216e-06,8.8259e-05,9.1954e-05,2.5264e-05,1.3067e-08,1.6488e-09,0.00010791,1.0483e-05,0.53244
N,3.723,0.056,1.304,2459000.5,59000,20200531.0,10.26788847401151,92.69609604197056,291.4061480496035,122.624570962389,3.403519799227556,2458379.8111632406,20180918.3111632,1.0506e-07,2.0443e-08,3.0797e-07,5.143e-06,4.1383e-05,4.4519e-05,1.6253e-05,2.3831e-08,2.0749e-09,8.0693e-05,1.9138e-05,0.62315
N,3.485,0.084,0.389,2459000.5,59000,20200531.0,3.775492637662147,78.90421515807647,247.0514752397501,230.7865800123167,3.66039896934583,2459706.311923703,20220506.8119237,6.5048e-08,3.5968e-08,2.0133e-07,6.2006e-06,0.00010736,0.00011042,3.4139e-05,4.2861e-08,3.2154e-09,0.0001959,3.4539e-05,0.62099
N,3.041,0.132,0.589,2459000.5,59000,20200531.0,9.179470521356418,95.56777931992868,161.6253883126239,78.62479888391414,2.859964024340123,2458707.3308094386,20190811.8308094,3.7997e-08,8.7639e-09,9.2733e-08,3.8858e-06,3.0186e-05,3.3278e-05,1.2333e-05,1.0525e-08,1.4804e-09,4.5977e-05,7.4098e-06,0.55473
N,3.806,0.034,0.22,2459000.5,59000,20200531.0,4.374362965150424,49.6216516086971,195.5965450249159,63.63027061506389,2.61949685290764,2458778.691858288,20191022.1918583,4.0096e-08,9.9216e-09,9.3153e-08,4.7809e-06,6.5359e-05,6.7778e-05,1.9801e-05,1.1414e-08,1.8751e-09,6.847e-05,8.2025e-06,0.5481
N,2.386,0.179,0.588,2459000.5,59000,20200531.0,2.710811382362797,148.4429337516682,221.7726255791373,160.7182405748118,3.193974883770874,2458271.2146873823,20180601.7146874,5.265e-08,1.6791e-08,1.4149e-07,5.4277e-06,9.6175e-05,9.7079e-05,1.5037e-05,1.9757e-08,2.0447e-09,6.4951e-05,1.5157e-05,0.55323
N,2.297,0.254,0.257,2459000.5,59000,20200531.0,3.42997482570718,229.2780850859432,249.5188074975015,338.8167845916845,2.647116285954942,2459077.884690886,20200816.3846909,3.4199e-08,9.1966e-09,8.2344e-08,4.2703e-06,6.3887e-05,6.6361e-05,1.7971e-05,1.0363e-08,1.6075e-09,6.5761e-05,7.7227e-06,0.51442
Y,0.453,0.094,0.006,2459000.5,59000,20200531.0,12.48726094952476,11.53132670146537,30.71378785896375,203.4913107182204,2.758919158336623,2459403.5378867094,20210708.0378867,3.7895e-08,1.2831e-08,6.9235e-08,8.386e-06,4.1634e-06,2.0484e-05,1.9122e-05,1.9026e-08,4.0169e-09,5.3263e-05,9.5897e-06,0.30015
N,49.793,0.085,0.416,2459000.5,59000,20200531.0,11.29194049892912,132.8392405724304,57.70550753308711,57.78535948859655,3.136077524457173,2458693.4426796236,20190728.9426796,4.2127e-08,1.24e-08,1.2934e-07,4.3737e-06,2.2365e-05,5.9844e-05,5.5022e-05,1.2894e-08,1.1607e-09,0.00029255,1.1798e-05,0.4501
N,2.225,0.068,0.831,2459000.5,59000,20200531.0,11.29011592224762,340.4288124565943,128.6612410511437,187.3893515056774,2.95573517417144,2459740.639447799,20220610.1394478,1.04e-07,4.7962e-08,2.7298e-07,1.2424e-05,4.6711e-05,6.1583e-05,4.7482e-05,5.4233e-08,6.4186e-09,0.00021685,4.2485e-05,0.60747
Y,1.649,0.245,0.045,2459000.5,59000,20200531.0,64.00699255328968,94.3624923060276,61.54106408142581,81.98646831159535,1.676097108452448,2458878.60137478,20200130.1013748,2.7587e-08,1.0543e-09,3.5842e-08,1.1632e-05,1.6818e-06,1.012e-05,7.7989e-06,1.3697e-09,8.2447e-10,1.1583e-05,6.5613e-07,0.30566
N,6.188,0.139,0.14,2459000.5,59000,20200531.0,9.5836401292415,323.9752966579539,326.7732943871916,27.66897467286331,3.239062237450574,2458856.1166801304,20200107.6166801,4.3905e-08,2.2831e-08,1.3815e-07,5.864e-06,2.9652e-05,4.998e-05,4.0288e-05,2.4819e-08,2.2026e-09,0.00021052,2.1592e-05,0.5178
N,6.046,0.07,0.162,2459000.5,59000,20200531.0,22.75225784741687,148.5575073317992,11.31059003589803,2.376221481240079,3.306395678355265,2458987.5101548685,20200518.0101549,5.3767e-08,2.2902e-08,1.733e-07,6.0203e-06,9.863e-06,3.4063e-05,3.0116e-05,2.4639e-08,2.0447e-09,0.00016463,2.1998e-05,0.55269
N,1.657,0.281,0.261,2459000.5,59000,20200531.0,6.357661556235321,355.9809862316675,122.8568465902037,349.9866987568531,2.422141395853613,2459035.3791220826,20200704.8791221,3.5741e-08,8.6613e-09,8.4462e-08,4.656e-06,3.1093e-05,5.1418e-05,3.8772e-05,9.2184e-09,1.6389e-09,0.00013502,7.1587e-06,0.52216
N,1.82,0.044,0.549,2459000.5,59000,20200531.0,9.566987802903538,16.34795500703938,336.3638302179213,59.00364280333308,3.326925070136744,2458731.743686508,20190905.2436865,1.2035e-06,1.5948e-07,3.2111e-06,6.6356e-05,0.00010636,0.003691,0.0023251,1.9496e-07,1.9298e-08,0.010612,0.00014414,0.55401
N,5.073,0.052,0.129,2459000.5,59000,20200531.0,2.767986909027838,161.5454409043541,174.9712638623917,1.682029269384851,3.305164028666016,2458992.476092425,20200522.9760924,4.7295e-08,1.7577e-08,1.3851e-07,5.0578e-06,8.8649e-05,8.9606e-05,1.2434e-05,2.07e-08,1.9693e-09,5.9287e-05,1.6133e-05,0.58271
N,3.271,0.104,0.534,2459000.5,59000,20200531.0,8.749479186164788,359.6490444225568,205.8116179782082,218.8515854594869,2.846489173982139,2459591.8728360403,20220112.372836,3.1885e-07,7.6052e-08,8.7142e-07,1.5038e-05,5.3961e-05,0.00020142,0.00023686,8.4106e-08,1.0578e-08,0.0010158,6.6849e-05,0.58635
N,1.332,0.3,0.358,2459000.5,59000,20200531.0,7.638228759766131,55.80373006276056,101.4424152887612,174.5398262844582,3.14267953673317,2458276.967994353,20180607.4679944,1.039e-07,2.0944e-08,2.7564e-07,6.5695e-06,7.1109e-05,7.3634e-05,2.2724e-05,2.5755e-08,2.9654e-09,8.7507e-05,1.8345e-05,0.63749
N,3.978,0.134,0.54,2459000.5,59000,20200531.0,5.251141685427303,277.5278383966225,355.4098554362756,215.864401445967,3.457650201716715,2459792.523126235,20220801.0231262,4.0458e-08,2.9691e-08,1.2601e-07,4.5819e-06,5.8201e-05,6.2266e-05,2.3776e-05,3.3288e-08,2.628e-09,0.00013514,2.8567e-05,0.57159
N,1.968,0.262,0.312,2459000.5,59000,20200531.0,6.775091035132344,141.1926354798692,273.7954788259425,200.3305218917739,2.649239600404081,2459597.5743925897,20220118.0743926,3.9552e-08,1.1673e-08,9.4337e-08,6.0788e-06,3.915e-05,4.8403e-05,2.8689e-05,1.2961e-08,1.9625e-09,0.00010871,9.8793e-06,0.5264
N,1.642,0.188,0.387,2459000.5,59000,20200531.0,2.741378570139376,174.6418519114164,66.85877348003723,218.6902493725948,2.720715342505325,2459545.302969981,20211126.80297,4.8241e-08,1.254e-08,1.1401e-07,4.7645e-06,0.00010472,0.00010668,2.1797e-05,1.4011e-08,2.0036e-09,8.5974e-05,1.0722e-05,0.58762
N,10.669,0.068,0.149,2459000.5,59000,20200531.0,4.051563911338301,107.9192442941851,332.1583357870679,88.07960981246919,2.838213023507242,2458657.604590211,20190623.1045902,2.5035e-08,7.4106e-09,6.0409e-08,3.4269e-06,4.3624e-05,4.5338e-05,1.2533e-05,8.5816e-09,1.165e-09,4.8248e-05,6.3563e-06,0.43392
N,8.575,0.05,0.296,2459000.5,59000,20200531.0,14.0280836163675,131.3783082877212,260.1048259127673,116.8327188798605,3.855609684418186,2458358.948703853,20180828.4487039,5.517e-08,2.2993e-08,1.6417e-07,4.3967e-06,2.3398e-05,2.4818e-05,8.3649e-06,2.8759e-08,2.0375e-09,4.4676e-05,2.2118e-05,0.54243
N,2.23,0.324,0.264,2459000.5,59000,20200531.0,3.581095262551875,136.019966919502,71.03728894251294,168.4828284484859,2.416587831792711,2458440.760930666,20181118.2609307,4.292e-08,7.3781e-09,9.5126e-08,5.1681e-06,6.2852e-05,6.761e-05,2.6425e-05,8.0858e-09,1.5107e-09,8.6701e-05,6.0027e-06,0.56603
N,3.714,0.14,1.292,2459000.5,59000,20200531.0,11.35176585588158,347.8550738000561,103.2190523952889,298.2027184198158,3.338743420340785,2459339.9117057114,20210505.4117057,9.5526e-08,1.5041e-07,3.0605e-07,1.9888e-05,5.1812e-05,0.00020341,0.00020886,1.6288e-07,1.3324e-08,0.0011667,0.00014469,0.58933
Y,1.136,0.042,0.028,2459000.5,59000,20200531.0,39.14474396194554,194.1683083804199,94.19644374497057,30.85253719801834,1.426777460408499,2458962.730656076,20200423.2306561,8.5871e-08,3.7537e-09,9.8943e-08,3.1576e-05,5.2239e-06,1.3004e-05,1.3409e-05,4.7255e-09,4.0582e-09,1.6281e-05,2.1895e-06,0.37536
N,2.219,0.036,0.708,2459000.5,59000,20200531.0,14.33780565650321,316.68026252,168.7735520292034,197.7485574098092,3.092358641844163,2459665.6040267227,20220327.1040267,1.1917e-06,9.8213e-08,3.0984e-06,3.4319e-05,4.8523e-05,0.00010602,5.8551e-05,1.1973e-07,1.4167e-08,0.000256,8.5702e-05,0.64655
N,7.838,0.035,0.321,2459000.5,59000,20200531.0,2.473576596872495,94.01845526083054,169.3683041490876,12.91197196938115,3.583093058548792,2458926.651968163,20200318.1519682,4.2558e-08,2.5897e-08,1.4035e-07,4.7015e-06,0.00012088,0.00012247,1.9676e-05,2.9295e-08,2.1443e-09,0.00011234,2.5251e-05,0.61378
N,8.989,0.042,0.63,2459000.5,59000,20200531.0,17.93839840174403,90.44905839349477,66.02433864211486,109.5291576989411,3.807208745421808,2458351.3022005325,20180820.8022005,5.4177e-08,3.0706e-08,1.6979e-07,6.992e-06,2.2607e-05,4.1963e-05,2.9795e-05,3.6041e-08,2.3957e-09,0.00017696,3.0299e-05,0.54864
N,4.495,0.055,0.354,2459000.5,59000,20200531.0,1.971016825886895,66.16882746465556,264.2477481409509,18.77072175304316,3.582394803573026,2458894.9718253594,20200215.4718254,5.2359e-08,2.9484e-08,1.6662e-07,5.2053e-06,0.00017241,0.00017331,1.8504e-05,3.3731e-08,2.5122e-09,0.00010359,2.8585e-05,0.57968
N,4.0,0.253,0.198,2459000.5,59000,20200531.0,4.669241072706495,299.133654562648,286.0138422063553,260.5639993266908,2.5565113876317,2459349.468179588,20210514.9681796,3.1184e-08,7.9569e-09,7.0478e-08,3.7598e-06,4.3838e-05,4.7391e-05,1.9971e-05,8.8939e-09,1.4869e-09,7.0791e-05,6.593e-06,0.48469
N,5.029,0.192,0.265,2459000.5,59000,20200531.0,13.14504016482889,74.940090191616,162.9284037975494,330.3273088690483,3.448253943477131,2459169.02214242,20201115.5221424,4.3887e-08,2.3547e-08,1.429e-07,4.6615e-06,1.9364e-05,2.9524e-05,2.2081e-05,2.5755e-08,1.9727e-09,0.00012539,2.2906e-05,0.54476
N,2.033,0.155,0.298,2459000.5,59000,20200531.0,6.375879008940823,46.79040443712163,151.4317549289099,1.105971225603976,2.4768078129569,2458996.734681941,20200527.2346819,3.9774e-08,7.2147e-09,8.9457e-08,4.0144e-06,3.3692e-05,3.7853e-05,1.7736e-05,7.9727e-09,1.4182e-09,6.0382e-05,5.9178e-06,0.51303
N,3.322,0.07,0.857,2455330.5,55330,20100514.0,10.67229680141816,353.3175490647001,149.3355400786936,150.0173954391501,2.937443566392143,2454724.957136364,20080915.4571364,8.7045,37.763,53.196,42.238,394.12,3889.0,5211.9,44.18,5.5892,7499.0,32783.0,0.50839
N,3.5,0.083,1.139,2459000.5,59000,20200531.0,13.24294082815769,226.3309792125559,147.365540119279,276.492890627045,3.229494950469112,2459351.947450828,20210517.4474508,7.5418e-08,2.5583e-08,1.9812e-07,7.844e-06,3.5042e-05,4.0209e-05,3.0186e-05,3.2003e-08,3.5319e-09,0.00013171,2.2521e-05,0.5202
N,6.18,0.035,0.075,2459000.5,59000,20200531.0,9.53062970494376,46.17681132608404,282.8289129468084,196.2925568530786,3.327493716269034,2459864.6348978914,20221012.1348979,8.6451e-08,3.8688e-08,2.7098e-07,7.8105e-06,5.3276e-05,6.1875e-05,3.065e-05,4.2876e-08,3.6617e-09,0.00016331,3.6729e-05,0.57927
N,3.995,0.07,0.38,2459000.5,59000,20200531.0,4.832835345424264,232.7993203123793,83.5280421145667,359.6055359626917,3.396453938279105,2459002.611254387,20200602.1112544,4.6e-08,2.6042e-08,1.4591e-07,6.7127e-06,6.3301e-05,7.0612e-05,2.948e-05,2.9188e-08,2.4085e-09,0.00015779,2.4837e-05,0.5775
N,2.916,0.083,0.426,2459000.5,59000,20200531.0,9.033866393731472,227.7711947483258,116.5403401790857,222.6487685092713,3.288206933084777,2459596.157961712,20220116.6579617,6.5046e-08,1.5881e-08,1.7502e-07,6.5099e-06,3.8559e-05,3.991e-05,1.1292e-05,1.9827e-08,2.0856e-09,5.1699e-05,1.4121e-05,0.56234
N,1.057,0.275,0.231,2459000.5,59000,20200531.0,7.702613789495452,151.481905165086,128.8084459435344,256.8734497207099,2.957527208005095,2459373.673538424,20210608.1735384,3.5009e-08,1.1718e-08,7.9664e-08,5.2532e-06,2.5725e-05,2.8335e-05,1.3822e-05,1.4847e-08,2.0809e-09,5.214e-05,9.8092e-06,0.5937
N,73.73,0.062,0.578,2459000.5,59000,20200531.0,15.5071701217263,23.76517005630027,204.3036249706331,117.3015471145041,5.40387713693001,2457588.5877253474,20160719.0877253,4.6349e-08,8.2059e-08,2.1971e-07,5.1723e-06,1.8065e-05,7.5269e-05,7.0697e-05,8.5249e-08,1.966e-09,0.00085755,0.00010254,0.47867
N,2.492,0.041,0.288,2459000.5,59000,20200531.0,2.923168527943085,188.8779723445819,76.38591485594318,220.9348948377576,2.596915839941595,2459471.6685892763,20210914.1685893,3.9861e-08,1.3462e-08,8.7183e-08,6.4355e-06,8.3496e-05,8.646e-05,2.6386e-05,1.5648e-08,2.6676e-09,9.1846e-05,1.1024e-05,0.59432
N,9.546,0.059,0.255,2459000.5,59000,20200531.0,17.8592786843904,222.8686270886029,292.0980444352435,301.9812120212895,3.726449882720298,2459338.073845214,20210503.5738452,4.8565e-08,2.5585e-08,1.5776e-07,7.1433e-06,1.5033e-05,2.5277e-05,2.1077e-05,2.9758e-08,2.0588e-09,0.00012451,2.509e-05,0.52643
N,3.322,0.07,1.164,2459000.5,59000,20200531.0,19.71306307446364,332.8605602186421,324.6594179006665,283.3778759633929,3.265930763028184,2459326.2085780716,20210421.7085781,4.6302e-08,2.1342e-08,1.1923e-07,7.7033e-06,1.8172e-05,2.9317e-05,2.6528e-05,2.6819e-08,2.8977e-09,0.00011503,1.885e-05,0.53506
N,1.282,0.324,0.273,2459000.5,59000,20200531.0,5.451253729975644,148.0782746069569,151.4335397876788,53.06091959150848,2.545682598812018,2458829.074921802,20191211.5749218,5.9085e-08,1.2675e-08,1.3522e-07,3.8667e-06,4.6619e-05,4.8777e-05,1.3435e-05,1.4907e-08,2.7189e-09,4.2784e-05,1.0216e-05,0.57539
N,3.457,0.178,0.972,2459000.5,59000,20200531.0,7.009894971048675,206.4986831674284,93.219598004978,34.16644510161883,2.868942305793637,2458858.872250739,20200110.3722507,3.2621e-08,1.805e-08,8.4728e-08,5.508e-06,3.0947e-05,3.9293e-05,2.4285e-05,2.0263e-08,2.5557e-09,0.0001005,1.5809e-05,0.52629
Y,0.418,0.154,0.081,2459000.5,59000,20200531.0,20.49598026402074,38.46840357085608,344.1027130622693,182.9483639027363,3.920289319113638,2459692.2219725032,20220422.7219725,1.4361e-07,4.9998e-08,3.6295e-07,1.7703e-05,4.97e-05,6.6021e-05,4.1752e-05,7.9783e-08,7.8136e-09,0.00018413,4.2936e-05,0.47938
N,4.91,0.051,0.131,2459000.5,59000,20200531.0,0.7391035189505835,297.0889220781118,258.2587861358769,325.0781415256009,3.365892781016306,2459176.960341436,20201123.4603414,4.2705e-08,2.1175e-08,1.2994e-07,6.1844e-06,0.00034829,0.00034887,2.2059e-05,2.4439e-08,2.1554e-09,0.00011225,1.9812e-05,0.52725
N,3.281,0.072,0.582,2459000.5,59000,20200531.0,4.510887280779007,300.3902235149872,298.7836592470131,148.5089667929954,3.606546580957987,2458029.070658453,20171002.5706585,1.1721e-07,1.1201e-07,3.5866e-07,1.2456e-05,0.00017801,0.00025802,0.00018703,1.1662e-07,7.415e-09,0.0012313,0.00011422,0.65528
Y,0.603,0.025,0.195,2459000.5,59000,20200531.0,1.971516034698949,59.72134795711698,91.6957278239448,323.7643144494784,4.024566823071964,2459120.582729603,20200928.0827296,3.9827e-07,1.1436e-06,6.8133e-07,1.4177e-05,0.00019767,0.0001737,0.00081962,2.0907e-06,2.3514e-07,0.0028098,0.00092965,0.35472
N,3.26,0.055,0.751,2459000.5,59000,20200531.0,9.914019180649232,71.09662827868897,51.66154897209627,60.69791088930102,3.052195481809449,2458724.2426447803,20190828.7426448,5.2838e-08,2.7582e-08,1.4518e-07,7.5896e-06,4.3557e-05,7.0256e-05,4.8907e-05,3.0951e-08,3.342e-09,0.0002222,2.4923e-05,0.58427
N,1.576,0.31,0.381,2459000.5,59000,20200531.0,4.731158177286049,260.1101216897151,335.9173528991405,324.2485165844346,2.551590490695559,2459120.4082831778,20200927.9082832,3.7376e-08,1.1062e-08,8.8249e-08,3.5693e-06,4.5313e-05,4.7029e-05,1.2416e-05,1.2719e-08,2.2294e-09,4.1816e-05,9.0281e-06,0.53671
N,4.483,0.139,0.267,2459000.5,59000,20200531.0,5.52944320916395,317.7647088272994,234.6610839908912,227.1806896031319,3.203336063330227,2459712.3753610286,20220512.875361,4.5701e-08,2.5441e-08,1.3679e-07,4.7732e-06,4.8819e-05,6.3076e-05,4.1724e-05,2.6868e-08,2.3474e-09,0.00022623,2.4276e-05,0.55771
N,4.098,0.046,0.468,2459000.5,59000,20200531.0,1.673444273050071,239.7611368955849,117.5471589957721,25.74319435871002,2.828152287195275,2458904.609516642,20200225.1095166,4.5062e-08,1.0165e-08,1.0623e-07,4.8271e-06,0.00015479,0.00015518,1.3362e-05,1.208e-08,1.7201e-09,4.9416e-05,8.5916e-06,0.51587
N,3.363,0.075,0.991,2459000.5,59000,20200531.0,10.20834942633634,10.61690506881039,326.5586696925652,306.2002461206089,2.927422766295624,2459193.913650056,20201210.4136501,5.8983e-08,1.2769e-08,1.3266e-07,6.1988e-06,2.6018e-05,2.8905e-05,1.8599e-05,1.6083e-08,2.2923e-09,6.7976e-05,1.0666e-05,0.53371
N,2.957,0.266,0.759,2459000.5,59000,20200531.0,3.063003160928383,229.3529603243358,180.2932682285496,124.4113809152113,3.044152018498368,2458415.8455722313,20181024.3455722,4.1495e-08,1.4604e-08,1.1453e-07,4.1162e-06,7.9608e-05,8.2865e-05,2.2595e-05,1.6e-08,1.6777e-09,0.00010547,1.3338e-05,0.51251
N,2.132,0.295,0.163,2459000.5,59000,20200531.0,21.86489468017863,352.3697273071434,87.57540308292809,167.0068664836434,2.876692944516022,2458284.0691508814,20180614.5691509,5.2322e-08,2.2885e-08,1.3739e-07,1.3724e-05,1.3211e-05,8.4784e-05,7.8487e-05,2.5177e-08,3.0603e-09,0.0003371,2.0275e-05,0.65821
N,5.184,0.06,0.178,2459000.5,59000,20200531.0,0.5187032480321219,204.2831298855802,196.5103835927438,255.3372439178802,3.707980970888839,2459594.953500442,20220115.4535004,5.0678e-08,2.8513e-08,1.6673e-07,6.062e-06,0.00054212,0.0005424,2.1627e-05,3.3534e-08,2.3884e-09,0.00012883,2.7738e-05,0.54026
N,2.604,0.343,0.47,2459000.5,59000,20200531.0,14.09715761494044,221.6888148227325,185.6230954670608,75.25700216285365,2.820891093510697,2458689.488404216,20190724.9884042,4.3533e-08,1.5543e-08,1.0758e-07,4.4677e-06,2.3588e-05,3.619e-05,2.8043e-05,1.7191e-08,2.212e-09,0.000116,1.36e-05,0.47899
N,4.357,0.053,0.293,2459000.5,59000,20200531.0,17.33825270439359,136.4521278554083,257.774613057349,159.9465644704085,3.306121099196392,2458187.7132985927,20180310.2132986,9.5871e-08,5.4788e-08,2.8636e-07,9.6996e-06,3.1539e-05,4.6059e-05,3.6625e-05,6.1877e-08,5.5246e-09,0.00017912,5.1358e-05,0.60477
Y,0.34,0.185,0.006,2459000.5,59000,20200531.0,3.844418384606414,189.6797869686881,302.9403813028595,48.13261356369508,4.778977621489385,2458765.3754430446,20191008.875443,6.748e-08,2.6841e-08,1.9634e-07,1.0894e-05,0.00011621,0.00012227,1.3338e-05,4.4987e-08,2.8906e-09,6.2054e-05,2.4831e-05,0.65424
N,4.374,0.057,0.035,2459000.5,59000,20200531.0,8.5167621311043,350.8137354740099,175.1704397635307,92.90259955122788,3.079168579435716,2458572.7715669097,20190330.2715669,5.3921e-08,2.3695e-08,1.4919e-07,6.3161e-06,3.8364e-05,4.5433e-05,2.5484e-05,2.6619e-08,2.8165e-09,0.00011517,2.1493e-05,0.52733
N,4.908,0.08,0.338,2459000.5,59000,20200531.0,13.77507184860336,282.5238219866948,28.9180336354734,328.5946598591689,3.153667165096333,2459168.015753744,20201114.5157537,8.2412e-08,7.446e-08,2.8711e-07,7.8999e-06,2.19e-05,7.5338e-05,7.6178e-05,7.7667e-08,6.9256e-09,0.00041029,7.0936e-05,0.54226
N,4.105,0.152,0.28,2459000.5,59000,20200531.0,11.55561894268036,72.68386150376477,273.711358398683,317.0044466914483,3.581972996957014,2459234.2470933776,20210119.7470934,6.3579e-08,3.7383e-08,2.1238e-07,6.4352e-06,2.806e-05,3.2927e-05,1.9102e-05,4.3729e-08,3.3684e-09,0.00010577,3.584e-05,0.56732
N,9.008,0.066,0.232,2459000.5,59000,20200531.0,21.32167008155741,302.1063517305321,214.4819004909566,113.4536092673845,3.209947976054287,2458403.547925583,20181012.0479256,6.1543e-08,2.4296e-08,1.8287e-07,7.1887e-06,1.2439e-05,4.0383e-05,4.0349e-05,2.6031e-08,2.3119e-09,0.00021096,2.3041e-05,0.53545
Y,0.986,0.288,0.028,2459000.5,59000,20200531.0,23.57728965233005,115.9473681190677,67.332820334427,109.6616459902704,3.129677903483278,2458702.069888836,20190806.5698888,3.497e-08,1.0306e-08,6.4871e-08,1.1442e-05,9.8881e-06,1.1767e-05,1.5547e-05,1.6708e-08,2.9426e-09,4.0013e-05,7.8454e-06,0.43516
